fecha,producto,precio,cliente_id,comentarios
2020-01-01 00:00:00,Monitor,642,4800,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 01:00:00,Laptop,798,7139,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 02:00:00,Monitor,1429,6165,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 03:00:00,Monitor,200,7178,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 04:00:00,Monitor,1438,3055,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 05:00:00,Mouse,1629,9887,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 06:00:00,Teclado,642,1372,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 07:00:00,Monitor,1206,5778,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 08:00:00,Laptop,1628,7711,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 09:00:00,Mouse,1538,5986,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 10:00:00,Teclado,569,3538,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 11:00:00,Laptop,579,1772,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 12:00:00,Laptop,797,8759,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 13:00:00,Laptop,528,5853,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 14:00:00,Laptop,785,3249,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 15:00:00,Teclado,244,4623,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 16:00:00,Teclado,722,7600,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 17:00:00,Laptop,508,2591,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 18:00:00,Teclado,1663,6624,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 19:00:00,Teclado,20,9547,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 20:00:00,Laptop,1148,6875,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 21:00:00,Laptop,745,6229,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 22:00:00,Teclado,771,1802,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-01 23:00:00,Mouse,1282,7607,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-02 00:00:00,Monitor,1025,9739,Texto largo de relleno para ocupar memoria RAM innecesariamente
2020-01-02 01:00:00,Teclado,1806,7948,Texto largo de relleno para ocupar memoria RAM innecesariamente
